iter	sc_Vmax(1)	Km(1)	LnPrior	LnData	LnPosterior
415	0.316789	316.946	-9.288567e+00	-1.484002e+03	-1.493291e+03
420	0.319499	309.066	-9.260701e+00	-1.484987e+03	-1.494248e+03
425	0.303006	309.066	-9.187680e+00	-1.483834e+03	-1.493022e+03
430	0.301016	299.351	-9.128530e+00	-1.483697e+03	-1.492826e+03
435	0.304039	299.351	-9.142245e+00	-1.483949e+03	-1.493091e+03
440	0.292537	287.752	-9.027689e+00	-1.483673e+03	-1.492701e+03
445	0.294731	291.997	-9.060743e+00	-1.483593e+03	-1.492653e+03
450	0.271836	270.747	-8.833360e+00	-1.482919e+03	-1.491752e+03
455	0.261556	266.805	-8.758698e+00	-1.482872e+03	-1.491631e+03
460	0.275011	270.903	-8.849966e+00	-1.483144e+03	-1.491994e+03
465	0.268549	269.43	-8.809378e+00	-1.482824e+03	-1.491634e+03
470	0.256495	265.672	-8.725888e+00	-1.483257e+03	-1.491983e+03
475	0.265428	269.883	-8.796208e+00	-1.482903e+03	-1.491699e+03
480	0.265192	273.672	-8.816587e+00	-1.483321e+03	-1.492137e+03
485	0.285542	278.768	-8.945348e+00	-1.483684e+03	-1.492629e+03
490	0.267148	275.134	-8.834749e+00	-1.483296e+03	-1.492130e+03
495	0.267148	251.437	-8.695915e+00	-1.485028e+03	-1.493724e+03
500	0.252724	255.406	-8.645368e+00	-1.482440e+03	-1.491085e+03
505	0.241233	255.406	-8.583289e+00	-1.484110e+03	-1.492693e+03
510	0.234482	239.227	-8.445505e+00	-1.482101e+03	-1.490546e+03
515	0.231284	236.406	-8.409279e+00	-1.482056e+03	-1.490466e+03
520	0.217393	210.982	-8.155895e+00	-1.481299e+03	-1.489455e+03
525	0.214711	210.982	-8.139650e+00	-1.480960e+03	-1.489100e+03
530	0.210008	216.836	-8.151851e+00	-1.481756e+03	-1.489908e+03
535	0.223522	232.688	-8.340175e+00	-1.482608e+03	-1.490949e+03
540	0.213533	204.741	-8.087501e+00	-1.481497e+03	-1.489585e+03
545	0.195701	197.464	-7.920321e+00	-1.480334e+03	-1.488254e+03
550	0.195701	197.464	-7.920321e+00	-1.480334e+03	-1.488254e+03
555	0.194926	198.342	-7.921802e+00	-1.480560e+03	-1.488482e+03
560	0.201067	198.342	-7.961890e+00	-1.480294e+03	-1.488256e+03
565	0.201067	188.203	-7.884057e+00	-1.482031e+03	-1.489915e+03
570	0.195759	195.165	-7.903292e+00	-1.480099e+03	-1.488002e+03
575	0.191777	194.353	-7.870629e+00	-1.480286e+03	-1.488157e+03
580	0.187884	194.353	-7.844284e+00	-1.481027e+03	-1.488871e+03
